"Topic","Talk","Speaker","Date","URL"
"dating","The Greatest Generation of Young Adults","M. Russell Ballard","April 2015","https://www.lds.org/general-conference/2015/04/the-greatest-generation-of-young-adults?lang=eng"
"dating","Receive the Temple Blessings","Richard G. Scott","April 1999","https://www.lds.org/general-conference/1999/04/receive-the-temple-blessings?lang=eng"
"dating","Some Thoughts on Temples, Retention of Converts, and Missionary Service","Gordon B. Hinckley","October 1997","https://www.lds.org/general-conference/1997/10/some-thoughts-on-temples-retention-of-converts-and-missionary-service?lang=eng"
"death","Behold the Man!","Dieter F. Uchtdorf","April 2018","https://www.lds.org/general-conference/2018/04/behold-the-man?lang=eng"
"death","Our Father’s Glorious Plan","Weatherford T. Clayton","April 2017","https://www.lds.org/general-conference/2017/04/our-fathers-glorious-plan?lang=eng"
"death","And There Shall Be No More Death","Paul V. Johnson","April 2016","https://www.lds.org/general-conference/2016/04/and-there-shall-be-no-more-death?lang=eng"
"death","God Is at the Helm","M. Russell Ballard","October 2015","https://www.lds.org/general-conference/2015/10/god-is-at-the-helm?lang=eng"
"death","The Holy Ghost as Your Companion","Henry B. Eyring","October 2015","https://www.lds.org/general-conference/2015/10/the-holy-ghost-as-your-companion?lang=eng"
"death","Christ the Redeemer","Carlos H. Amado","April 2014","https://www.lds.org/general-conference/2014/04/christ-the-redeemer?lang=eng"
"death","When You Save a Girl, You Save Generations","Mary N. Cook","April 2013","https://www.lds.org/general-conference/2013/04/when-you-save-a-girl-you-save-generations?lang=eng"
"death","“Because I Live, Ye Shall Live Also”","Shayne M. Bowen","October 2012","https://www.lds.org/general-conference/2012/10/because-i-live-ye-shall-live-also?lang=eng"
"death","Thanks Be to God","Russell M. Nelson","April 2012","https://www.lds.org/general-conference/2012/04/thanks-be-to-god?lang=eng"
"death","The Race of Life","Thomas S. Monson","April 2012","https://www.lds.org/general-conference/2012/04/the-race-of-life?lang=eng"
"death","He Is Risen!","Thomas S. Monson","April 2010","https://www.lds.org/general-conference/2010/04/he-is-risen?lang=eng"
"death","Mrs. Patton—the Story Continues","Thomas S. Monson","October 2007","https://www.lds.org/general-conference/2007/10/mrs-patton-the-story-continues?lang=eng"
"death","Sunday Will Come","Joseph B. Wirthlin","October 2006","https://www.lds.org/general-conference/2006/10/sunday-will-come?lang=eng"
"death","Now Is the Time to Prepare","Russell M. Nelson","April 2005","https://www.lds.org/general-conference/2005/04/now-is-the-time-to-prepare?lang=eng"
"death","But If Not","Lance B. Wickman","October 2002","https://www.lds.org/general-conference/2002/10/but-if-not?lang=eng"
"death","The Power of a Strong Testimony","Richard G. Scott","October 2001","https://www.lds.org/general-conference/2001/10/the-power-of-a-strong-testimony?lang=eng"
"death","The Times in Which We Live","Gordon B. Hinckley","October 2001","https://www.lds.org/general-conference/2001/10/the-times-in-which-we-live?lang=eng"
"death","Now Is the Time","Thomas S. Monson","October 2001","https://www.lds.org/general-conference/2001/10/now-is-the-time?lang=eng"
"death","“Be Thou an Example”","Thomas S. Monson","October 2001","https://www.lds.org/general-conference/2001/10/be-thou-an-example?lang=eng"
"death","The Book of Mormon: Another Testament of Jesus Christ","Boyd K. Packer","October 2001","https://www.lds.org/general-conference/2001/10/the-book-of-mormon-another-testament-of-jesus-christ?lang=eng"
"death","Compassion","Thomas S. Monson","April 2001","https://www.lds.org/general-conference/2001/04/compassion?lang=eng"
"death","Personal Preparation for Temple Blessings","Russell M. Nelson","April 2001","https://www.lds.org/general-conference/2001/04/personal-preparation-for-temple-blessings?lang=eng"
"death","The Redemption of the Dead and the Testimony of Jesus","D. Todd Christofferson","October 2000","https://www.lds.org/general-conference/2000/10/the-redemption-of-the-dead-and-the-testimony-of-jesus?lang=eng"
"death","Resurrection","Dallin H. Oaks","April 2000","https://www.lds.org/general-conference/2000/04/resurrection?lang=eng"
"death","Our Destiny","L. Aldin Porter","October 1999","https://www.lds.org/general-conference/1999/10/our-destiny?lang=eng"
"death","Peace, Hope, and Direction","Patricia P. Pinegar","October 1999","https://www.lds.org/general-conference/1999/10/peace-hope-and-direction?lang=eng"
"death","“For This Cause Came I into the World”","Alexander B. Morrison","October 1999","https://www.lds.org/general-conference/1999/10/for-this-cause-came-i-into-the-world?lang=eng"
"death","“He Is Not Here, but Is Risen”","Gordon B. Hinckley","April 1999","https://www.lds.org/general-conference/1999/04/he-is-not-here-but-is-risen?lang=eng"
"death","Healing Soul and Body","Robert D. Hales","October 1998","https://www.lds.org/general-conference/1998/10/healing-soul-and-body?lang=eng"
"death","Think to Thank","Thomas S. Monson","October 1998","https://www.lds.org/general-conference/1998/10/think-to-thank?lang=eng"
"death","We Are Children of God","Russell M. Nelson","October 1998","https://www.lds.org/general-conference/1998/10/we-are-children-of-god?lang=eng"
"death","The Time to Prepare","Joseph B. Wirthlin","April 1998","https://www.lds.org/general-conference/1998/04/the-time-to-prepare?lang=eng"
"death","Have You Been Saved?","Dallin H. Oaks","April 1998","https://www.lds.org/general-conference/1998/04/have-you-been-saved?lang=eng"
"death","“Apply the Atoning Blood of Christ”","Neal A. Maxwell","October 1997","https://www.lds.org/general-conference/1997/10/apply-the-atoning-blood-of-christ?lang=eng"
"death","“He Hath Filled the Hungry with Good Things”","Jeffrey R. Holland","October 1997","https://www.lds.org/general-conference/1997/10/he-hath-filled-the-hungry-with-good-things?lang=eng"
"death","Teach the Children","Thomas S. Monson","October 1997","https://www.lds.org/general-conference/1997/10/teach-the-children?lang=eng"
"death","Eternity Lies before Us","James E. Faust","April 1997","https://www.lds.org/general-conference/1997/04/eternity-lies-before-us?lang=eng"
"death","“From Whom All Blessings Flow”","Neal A. Maxwell","April 1997","https://www.lds.org/general-conference/1997/04/from-whom-all-blessings-flow?lang=eng"
"death","Raised in Hope","Chieko N. Okazaki","October 1996","https://www.lds.org/general-conference/1996/10/raised-in-hope?lang=eng"
"death","This Glorious Easter Morn","Gordon B. Hinckley","April 1996","https://www.lds.org/general-conference/1996/04/this-glorious-easter-morn?lang=eng"
"death","To Touch a Life with Faith","Henry B. Eyring","October 1995","https://www.lds.org/general-conference/1995/10/to-touch-a-life-with-faith?lang=eng"
"death","The Power to Heal from Within","Merrill J. Bateman","April 1995","https://www.lds.org/general-conference/1995/04/the-power-to-heal-from-within?lang=eng"
"death","Children of the Covenant","Russell M. Nelson","April 1995","https://www.lds.org/general-conference/1995/04/children-of-the-covenant?lang=eng"
"death","The Fatherless and the Widows—Beloved of God","Thomas S. Monson","October 1994","https://www.lds.org/general-conference/1994/10/the-fatherless-and-the-widows-beloved-of-god?lang=eng"
"death","A Divine Prescription for Spiritual Healing","Malcolm S. Jeppsen","April 1994","https://www.lds.org/general-conference/1994/04/a-divine-prescription-for-spiritual-healing?lang=eng"
"death","Decisions","Gerald E. Melchin","April 1994","https://www.lds.org/general-conference/1994/04/decisions?lang=eng"
"death","“If a Man Die, Shall He Live Again?”","Carlos E. Asay","April 1994","https://www.lds.org/general-conference/1994/04/if-a-man-die-shall-he-live-again?lang=eng"
"death","“Faith in the Lord Jesus Christ”","Dallin H. Oaks","April 1994","https://www.lds.org/general-conference/1994/04/faith-in-the-lord-jesus-christ?lang=eng"
"dedication","The Trek Continues!","M. Russell Ballard","October 2017","https://www.lds.org/general-conference/2017/10/the-trek-continues?lang=eng"
"dedication","Be Valiant in Courage, Strength, and Activity","Gary E. Stevenson","October 2012","https://www.lds.org/general-conference/2012/10/be-valiant-in-courage-strength-and-activity?lang=eng"
"dedication","The Transforming Power of Faith and Character","Richard G. Scott","October 2010","https://www.lds.org/general-conference/2010/10/the-transforming-power-of-faith-and-character?lang=eng"
"dedication","Never, Never, Never Give Up!","Mary N. Cook","April 2010","https://www.lds.org/general-conference/2010/04/never-never-never-give-up?lang=eng"
"dedication","Act in All Diligence","Henry B. Eyring","April 2010","https://www.lds.org/general-conference/2010/04/act-in-all-diligence?lang=eng"
"dedication","Be of Good Cheer","Thomas S. Monson","April 2009","https://www.lds.org/general-conference/2009/04/be-of-good-cheer?lang=eng"
"dedication","Winning the War against Evil","James J. Hamula","October 2008","https://www.lds.org/general-conference/2008/10/winning-the-war-against-evil?lang=eng"
"dedication","Life’s Lessons Learned","Joseph B. Wirthlin","April 2007","https://www.lds.org/general-conference/2007/04/lifes-lessons-learned?lang=eng"
"dedication","Lay Up in Store","Keith B. McMullin","April 2007","https://www.lds.org/general-conference/2007/04/lay-up-in-store?lang=eng"
"dedication","Compass of the Lord","Lowell M. Snow","October 2005","https://www.lds.org/general-conference/2005/10/compass-of-the-lord?lang=eng"
"dedication","The Prophet Joseph Smith: Teacher by Example","Thomas S. Monson","October 2005","https://www.lds.org/general-conference/2005/10/the-prophet-joseph-smith-teacher-by-example?lang=eng"
"dedication","Perseverance","James E. Faust","April 2005","https://www.lds.org/general-conference/2005/04/perseverance?lang=eng"
"dedication","The Finished Story","Gayle M. Clegg","April 2004","https://www.lds.org/general-conference/2004/04/the-finished-story?lang=eng"
"dedication","Remember How Merciful the Lord Hath Been","Neal A. Maxwell","April 2004","https://www.lds.org/general-conference/2004/04/remember-how-merciful-the-lord-hath-been?lang=eng"
"dedication","Seeing the Promises Afar Off","Anne C. Pingree","October 2003","https://www.lds.org/general-conference/2003/10/seeing-the-promises-afar-off?lang=eng"
"dedication","Models to Follow","Thomas S. Monson","October 2002","https://www.lds.org/general-conference/2002/10/models-to-follow?lang=eng"
"dedication","Prayer","Henry B. Eyring","October 2001","https://www.lds.org/general-conference/2001/10/prayer?lang=eng"
"dedication","One Step after Another","Joseph B. Wirthlin","October 2001","https://www.lds.org/general-conference/2001/10/one-step-after-another?lang=eng"
"dedication","Ripples","Virginia U. Jensen","October 2000","https://www.lds.org/general-conference/2000/10/ripples?lang=eng"
"dedication","The Power of Righteousness","Richard G. Scott","October 1998","https://www.lds.org/general-conference/1998/10/the-power-of-righteousness?lang=eng"
"dedication","Being Leaders Who Foster Growth","Karen Maxwell","April 1995","https://www.lds.org/general-conference/1995/04/being-leaders-who-foster-growth?lang=eng"
"dedication","A Time to Choose","Thomas S. Monson","April 1995","https://www.lds.org/general-conference/1995/04/a-time-to-choose?lang=eng"
"dedication","“These … Were Our Examples”","Russell M. Nelson","October 1991","https://www.lds.org/general-conference/1991/10/these-were-our-examples?lang=eng"
"dedication","Go For It!","Thomas S. Monson","April 1989","https://www.lds.org/general-conference/1989/04/go-for-it?lang=eng"
"dedication","Because of Your Steadiness","Henry B. Eyring","April 1988","https://www.lds.org/general-conference/1988/04/because-of-your-steadiness?lang=eng"
"dedication","Never Give Up","Joseph B. Wirthlin","October 1987","https://www.lds.org/general-conference/1987/10/never-give-up?lang=eng"
"dedication","The Will Within","Thomas S. Monson","April 1987","https://www.lds.org/general-conference/1987/04/the-will-within?lang=eng"
"dedication","“Let Us Not Weary in Well Doing”","Spencer W. Kimball","April 1980","https://www.lds.org/general-conference/1980/04/let-us-not-weary-in-well-doing?lang=eng"
"dedication","Dikes versus Living Water","Joseph B. Wirthlin","October 1976","https://www.lds.org/general-conference/1976/10/dikes-versus-living-water?lang=eng"
"dedication","Which Road Will You Travel?","Thomas S. Monson","October 1976","https://www.lds.org/general-conference/1976/10/which-road-will-you-travel?lang=eng"
"dedication","Our Goal Is Perfection","William H. Bennett","October 1976","https://www.lds.org/general-conference/1976/10/our-goal-is-perfection?lang=eng"
"dedication","Hanging On","Loren C. Dunn","April 1974","https://www.lds.org/general-conference/1974/04/hanging-on?lang=eng"
"dedication","“I Know That My Redeemer Lives”","Bruce R. McConkie","October 1972","https://www.lds.org/general-conference/1972/10/i-know-that-my-redeemer-lives?lang=eng"
"dedication","“Finishers Wanted”","Thomas S. Monson","April 1972","https://www.lds.org/general-conference/1972/04/finishers-wanted?lang=eng"
"dedication","Know Thyself, Control Thyself, Give Thyself","Paul H. Dunn","April 1972","https://www.lds.org/general-conference/1972/04/know-thyself-control-thyself-give-thyself?lang=eng"
"disabilities","Be Ambitious for Christ","Kazuhiko Yamashita","October 2016","https://www.lds.org/general-conference/2016/10/be-ambitious-for-christ?lang=eng"
"disabilities","Strengthened by the Atonement of Jesus Christ","Dallin H. Oaks","October 2015","https://www.lds.org/general-conference/2015/10/strengthened-by-the-atonement-of-jesus-christ?lang=eng"
"disabilities","Like a Broken Vessel","Jeffrey R. Holland","October 2013","https://www.lds.org/general-conference/2013/10/like-a-broken-vessel?lang=eng"
"disabilities","Special Lessons","Ronald A. Rasband","April 2012","https://www.lds.org/general-conference/2012/04/special-lessons?lang=eng"
"disabilities","It Is Not Good for Man or Woman to Be Alone","Sheri L. Dew","October 2001","https://www.lds.org/general-conference/2001/10/it-is-not-good-for-man-or-woman-to-be-alone?lang=eng"
"disabilities","One Step after Another","Joseph B. Wirthlin","October 2001","https://www.lds.org/general-conference/2001/10/one-step-after-another?lang=eng"
"disabilities","“Ye Are the Temple of God”","Boyd K. Packer","October 2000","https://www.lds.org/general-conference/2000/10/ye-are-the-temple-of-god?lang=eng"
"disabilities","Content with the Things Allotted unto Us","Neal A. Maxwell","April 2000","https://www.lds.org/general-conference/2000/04/content-with-the-things-allotted-unto-us?lang=eng"
"disabilities","Resurrection","Dallin H. Oaks","April 2000","https://www.lds.org/general-conference/2000/04/resurrection?lang=eng"
"disabilities","Encircled in the Savior’s Love","W. Craig Zwick","October 1995","https://www.lds.org/general-conference/1995/10/encircled-in-the-saviors-love?lang=eng"
"disabilities","The Power of Goodness","Janette Hales Beckham","October 1995","https://www.lds.org/general-conference/1995/10/the-power-of-goodness?lang=eng"
"disabilities","He Will Be There to Help","Hilarie Cole","April 1995","https://www.lds.org/general-conference/1995/04/he-will-be-there-to-help?lang=eng"
"disabilities","Worship through Music","Dallin H. Oaks","October 1994","https://www.lds.org/general-conference/1994/10/worship-through-music?lang=eng"
"disabilities","The Moving of the Water","Boyd K. Packer","April 1991","https://www.lds.org/general-conference/1991/04/the-moving-of-the-water?lang=eng"
"disabilities","The Works of God","James E. Faust","October 1984","https://www.lds.org/general-conference/1984/10/the-works-of-god?lang=eng"
"disabilities","Labels","Thomas S. Monson","October 1983","https://www.lds.org/general-conference/1983/10/labels?lang=eng"
"disabilities","“Come Home, Felila”","John H. Groberg","October 1978","https://www.lds.org/general-conference/1978/10/come-home-felila?lang=eng"
"disabilities","Lost Battalions","Thomas S. Monson","April 1971","https://www.lds.org/general-conference/1971/04/lost-battalions?lang=eng"
"discipleship","It Is All about People","Gérald Caussé","April 2018","https://www.lds.org/general-conference/2018/04/it-is-all-about-people?lang=eng"
"discipleship","Pure Love: The True Sign of Every True Disciple of Jesus Christ","Massimo De Feo","April 2018","https://www.lds.org/general-conference/2018/04/pure-love-the-true-sign-of-every-true-disciple-of-jesus-christ?lang=eng"
"discipleship","Ministering as the Savior Does","Jean B. Bingham","April 2018","https://www.lds.org/general-conference/2018/04/ministering-as-the-savior-does?lang=eng"
"discipleship","Young Women in the Work","Bonnie L. Oscarson","April 2018","https://www.lds.org/general-conference/2018/04/young-women-in-the-work?lang=eng"
"discipleship","Let Us All Press On","Russell M. Nelson","April 2018","https://www.lds.org/general-conference/2018/04/let-us-all-press-on?lang=eng"
"discipleship","Behold the Man!","Dieter F. Uchtdorf","April 2018","https://www.lds.org/general-conference/2018/04/behold-the-man?lang=eng"
"discipleship","A Yearning for Home","Dieter F. Uchtdorf","October 2017","https://www.lds.org/general-conference/2017/10/a-yearning-for-home?lang=eng"
"discipleship","Three Sisters","Dieter F. Uchtdorf","October 2017","https://www.lds.org/general-conference/2017/10/three-sisters?lang=eng"
"discipleship","A Sin-Resistant Generation","Joy D. Jones","April 2017","https://www.lds.org/general-conference/2017/04/a-sin-resistant-generation?lang=eng"
"discipleship","Becoming a Disciple of Our Lord Jesus Christ","Robert D. Hales","April 2017","https://www.lds.org/general-conference/2017/04/becoming-a-disciple-of-our-lord-jesus-christ?lang=eng"
"discipleship","Certain Women","Linda K. Burton","April 2017","https://www.lds.org/general-conference/2017/04/certain-women?lang=eng"
"discipleship","The Greatest among You","Dieter F. Uchtdorf","April 2017","https://www.lds.org/general-conference/2017/04/the-greatest-among-you?lang=eng"
"discipleship","Overcoming the World","Neil L. Andersen","April 2017","https://www.lds.org/general-conference/2017/04/overcoming-the-world?lang=eng"
"discipleship","The Blessings of Worship","Dean M. Davies","October 2016","https://www.lds.org/general-conference/2016/10/the-blessings-of-worship?lang=eng"
"discipleship","God Shall Wipe Away All Tears","Evan A. Schmutz","October 2016","https://www.lds.org/general-conference/2016/10/god-shall-wipe-away-all-tears?lang=eng"
"discipleship","“If Ye Had Known Me”","David A. Bednar","October 2016","https://www.lds.org/general-conference/2016/10/if-ye-had-known-me?lang=eng"
"discipleship","Do I Believe?","Bonnie L. Oscarson","April 2016","https://www.lds.org/general-conference/2016/04/do-i-believe?lang=eng"
"discipleship","He Will Place You on His Shoulders and Carry You Home","Dieter F. Uchtdorf","April 2016","https://www.lds.org/general-conference/2016/04/he-will-place-you-on-his-shoulders-and-carry-you-home?lang=eng"
"discipleship","The Greatest Leaders Are the Greatest Followers","Stephen W. Owen","April 2016","https://www.lds.org/general-conference/2016/04/the-greatest-leaders-are-the-greatest-followers?lang=eng"
"discipleship","What Lack I Yet?","Larry R. Lawrence","October 2015","https://www.lds.org/general-conference/2015/10/what-lack-i-yet?lang=eng"
"discipleship","It Works Wonderfully!","Dieter F. Uchtdorf","October 2015","https://www.lds.org/general-conference/2015/10/it-works-wonderfully?lang=eng"
"discipleship","Let the Clarion Trumpet Sound","Gregory A. Schwitzer","October 2015","https://www.lds.org/general-conference/2015/10/let-the-clarion-trumpet-sound?lang=eng"
"discipleship","Stay by the Tree","Kevin W. Pearson","April 2015","https://www.lds.org/general-conference/2015/04/stay-by-the-tree?lang=eng"
"discipleship","Truly Good and without Guile","Michael T. Ringwood","April 2015","https://www.lds.org/general-conference/2015/04/truly-good-and-without-guile?lang=eng"
"discipleship","On Being Genuine","Dieter F. Uchtdorf","April 2015","https://www.lds.org/general-conference/2015/04/on-being-genuine?lang=eng"
"discipleship","The Greatest Generation of Young Adults","M. Russell Ballard","April 2015","https://www.lds.org/general-conference/2015/04/the-greatest-generation-of-young-adults?lang=eng"
"discipleship","If You Will Be Responsible","Jorge F. Zeballos","April 2015","https://www.lds.org/general-conference/2015/04/if-you-will-be-responsible?lang=eng"
"discipleship","Our Personal Ministries","Hugo E. Martinez","October 2014","https://www.lds.org/general-conference/2014/10/our-personal-ministries?lang=eng"
"discipleship","Are We Not All Beggars?","Jeffrey R. Holland","October 2014","https://www.lds.org/general-conference/2014/10/are-we-not-all-beggars?lang=eng"
"discipleship","“Lord, Is It I?”","Dieter F. Uchtdorf","October 2014","https://www.lds.org/general-conference/2014/10/lord-is-it-i?lang=eng"
"discipleship","The Cost—and Blessings—of Discipleship","Jeffrey R. Holland","April 2014","https://www.lds.org/general-conference/2014/04/the-cost-and-blessings-of-discipleship?lang=eng"
"discipleship","Wanted: Hands and Hearts to Hasten the Work","Linda K. Burton","April 2014","https://www.lds.org/general-conference/2014/04/wanted-hands-and-hearts-to-hasten-the-work?lang=eng"
"discipleship","The Joyful Burden of Discipleship","Ronald A. Rasband","April 2014","https://www.lds.org/general-conference/2014/04/the-joyful-burden-of-discipleship?lang=eng"
"discipleship","Four Titles","Dieter F. Uchtdorf","April 2013","https://www.lds.org/general-conference/2013/04/four-titles?lang=eng"
"discipleship","Becoming a True Disciple","Daniel L. Johnson","October 2012","https://www.lds.org/general-conference/2012/10/becoming-a-true-disciple?lang=eng"
"discipleship","Be Anxiously Engaged","M. Russell Ballard","October 2012","https://www.lds.org/general-conference/2012/10/be-anxiously-engaged?lang=eng"
"discipleship","First Observe, Then Serve","Linda K. Burton","October 2012","https://www.lds.org/general-conference/2012/10/first-observe-then-serve?lang=eng"
"discipleship","The First Great Commandment","Jeffrey R. Holland","October 2012","https://www.lds.org/general-conference/2012/10/the-first-great-commandment?lang=eng"
"discipleship","Being a More Christian Christian","Robert D. Hales","October 2012","https://www.lds.org/general-conference/2012/10/being-a-more-christian-christian?lang=eng"
"discipleship","Of Regrets and Resolutions","Dieter F. Uchtdorf","October 2012","https://www.lds.org/general-conference/2012/10/of-regrets-and-resolutions?lang=eng"
"discipleship","Having the Vision to Do","O. Vincent Haleck","April 2012","https://www.lds.org/general-conference/2012/04/having-the-vision-to-do?lang=eng"
"discipleship","What Thinks Christ of Me?","Neil L. Andersen","April 2012","https://www.lds.org/general-conference/2012/04/what-thinks-christ-of-me?lang=eng"
"discipleship","What I Hope My Granddaughters (and Grandsons) Will Understand about Relief Society","Julie B. Beck","October 2011","https://www.lds.org/general-conference/2011/10/what-i-hope-my-granddaughters-and-grandsons-will-understand-about-relief-society?lang=eng"
"discipleship","The Essence of Discipleship","Silvia H. Allred","April 2011","https://www.lds.org/general-conference/2011/04/the-essence-of-discipleship?lang=eng"
"discipleship","Followers of Christ","Walter F. González","April 2011","https://www.lds.org/general-conference/2011/04/followers-of-christ?lang=eng"
"discipleship","The Love of God","Dieter F. Uchtdorf","October 2009","https://www.lds.org/general-conference/2009/10/the-love-of-god?lang=eng"
"discipleship","The Way of the Disciple","Dieter F. Uchtdorf","April 2009","https://www.lds.org/general-conference/2009/04/the-way-of-the-disciple?lang=eng"
"discipleship","Christian Courage: The Price of Discipleship","Robert D. Hales","October 2008","https://www.lds.org/general-conference/2008/10/christian-courage-the-price-of-discipleship?lang=eng"
"disciplinary councils","The Stake President","Gordon B. Hinckley","April 2000","https://www.lds.org/general-conference/2000/04/the-stake-president?lang=eng"
"disciplinary councils","While They Are Waiting","Marvin J. Ashton","April 1988","https://www.lds.org/general-conference/1988/04/while-they-are-waiting?lang=eng"
"disciplinary councils","To Forgive Is Divine","Theodore M. Burton","April 1983","https://www.lds.org/general-conference/1983/04/to-forgive-is-divine?lang=eng"
"disciplinary councils","Courts of Love","Robert L. Simpson","April 1972","https://www.lds.org/general-conference/1972/04/courts-of-love?lang=eng"
"discipline","The Righteous Judge","Lynn G. Robbins","October 2016","https://www.lds.org/general-conference/2016/10/the-righteous-judge?lang=eng"
"discipline","Fathers","D. Todd Christofferson","April 2016","https://www.lds.org/general-conference/2016/04/fathers?lang=eng"
"discipline","Dad, Are You Awake?","F. Melvin Hammond","October 2002","https://www.lds.org/general-conference/2002/10/dad-are-you-awake?lang=eng"
"discipline","The Role of Fathers","A. Theodore Tuttle","October 1973","https://www.lds.org/general-conference/1973/10/the-role-of-fathers?lang=eng"
"dispensations","At the Summit of the Ages","Gordon B. Hinckley","October 1999","https://www.lds.org/general-conference/1999/10/at-the-summit-of-the-ages?lang=eng"
"dispensations","“Come, Listen to a Prophet’s Voice”","Virginia U. Jensen","October 1998","https://www.lds.org/general-conference/1998/10/come-listen-to-a-prophets-voice?lang=eng"
"dispensations","The Last Dispensation","Alvin R. Dyer","April 1972","https://www.lds.org/general-conference/1972/04/the-last-dispensation?lang=eng"
"divine nature","Meek and Lowly of Heart","David A. Bednar","April 2018","https://www.lds.org/general-conference/2018/04/meek-and-lowly-of-heart?lang=eng"
"divine nature","Am I a Child of God?","Brian K. Taylor","April 2018","https://www.lds.org/general-conference/2018/04/am-i-a-child-of-god?lang=eng"
"divine nature","Value beyond Measure","Joy D. Jones","October 2017","https://www.lds.org/general-conference/2017/10/value-beyond-measure?lang=eng"
"divine nature","Three Sisters","Dieter F. Uchtdorf","October 2017","https://www.lds.org/general-conference/2017/10/three-sisters?lang=eng"
"divine nature","By Divine Design","Ronald A. Rasband","October 2017","https://www.lds.org/general-conference/2017/10/by-divine-design?lang=eng"
"divine nature","Exceeding Great and Precious Promises","David A. Bednar","October 2017","https://www.lds.org/general-conference/2017/10/exceeding-great-and-precious-promises?lang=eng"
"divine nature","A Sin-Resistant Generation","Joy D. Jones","April 2017","https://www.lds.org/general-conference/2017/04/a-sin-resistant-generation?lang=eng"
"divine nature","The Beauty of Holiness","Carol F. McConkie","April 2017","https://www.lds.org/general-conference/2017/04/the-beauty-of-holiness?lang=eng"
"divine nature","O How Great the Plan of Our God!","Dieter F. Uchtdorf","October 2016","https://www.lds.org/general-conference/2016/10/o-how-great-the-plan-of-our-god?lang=eng"
"divine nature","No Greater Joy Than to Know That They Know","K. Brett Nattress","October 2016","https://www.lds.org/general-conference/2016/10/no-greater-joy-than-to-know-that-they-know?lang=eng"
"divine nature","“Abide in My Love”","D. Todd Christofferson","October 2016","https://www.lds.org/general-conference/2016/10/abide-in-my-love?lang=eng"
"divine nature","A Sacred Trust","Thomas S. Monson","April 2016","https://www.lds.org/general-conference/2016/04/a-sacred-trust?lang=eng"
"divine nature","I Am a Child of God","Donald L. Hallstrom","April 2016","https://www.lds.org/general-conference/2016/04/i-am-a-child-of-god?lang=eng"
"divine nature","He Will Place You on His Shoulders and Carry You Home","Dieter F. Uchtdorf","April 2016","https://www.lds.org/general-conference/2016/04/he-will-place-you-on-his-shoulders-and-carry-you-home?lang=eng"
"divine nature","“I Was a Stranger”","Linda K. Burton","April 2016","https://www.lds.org/general-conference/2016/04/i-was-a-stranger?lang=eng"
"divine nature","The Price of Priesthood Power","Russell M. Nelson","April 2016","https://www.lds.org/general-conference/2016/04/the-price-of-priesthood-power?lang=eng"
"divine nature","Through God’s Eyes","Dale G. Renlund","October 2015","https://www.lds.org/general-conference/2015/10/through-gods-eyes?lang=eng"
"divine nature","Discovering the Divinity Within","Rosemary M. Wixom","October 2015","https://www.lds.org/general-conference/2015/10/discovering-the-divinity-within?lang=eng"
"divine nature","God Is at the Helm","M. Russell Ballard","October 2015","https://www.lds.org/general-conference/2015/10/god-is-at-the-helm?lang=eng"
"divine nature","It Works Wonderfully!","Dieter F. Uchtdorf","October 2015","https://www.lds.org/general-conference/2015/10/it-works-wonderfully?lang=eng"
"divine nature","It’s Never Too Early and It’s Never Too Late","Bradley D. Foster","October 2015","https://www.lds.org/general-conference/2015/10/its-never-too-early-and-its-never-too-late?lang=eng"
"divine nature","Here to Serve a Righteous Cause","Carol F. McConkie","October 2015","https://www.lds.org/general-conference/2015/10/here-to-serve-a-righteous-cause?lang=eng"
"divine nature","Be Fruitful, Multiply, and Subdue the Earth","Joseph W. Sitati","April 2015","https://www.lds.org/general-conference/2015/04/be-fruitful-multiply-and-subdue-the-earth?lang=eng"
"divine nature","Living the Gospel Joyful","Dieter F. Uchtdorf","October 2014","https://www.lds.org/general-conference/2014/10/living-the-gospel-joyful?lang=eng"
"divine nature","Four Titles","Dieter F. Uchtdorf","April 2013","https://www.lds.org/general-conference/2013/04/four-titles?lang=eng"
"divine nature","We Are Daughters of Our Heavenly Father","Elaine S. Dalton","April 2013","https://www.lds.org/general-conference/2013/04/we-are-daughters-of-our-heavenly-father?lang=eng"
"divine nature","“This Is My Work and Glory”","M. Russell Ballard","April 2013","https://www.lds.org/general-conference/2013/04/this-is-my-work-and-glory?lang=eng"
"divine nature","You Matter to Him","Dieter F. Uchtdorf","October 2011","https://www.lds.org/general-conference/2011/10/you-matter-to-him?lang=eng"
"divine nature","Remember Who You Are!","Elaine S. Dalton","April 2010","https://www.lds.org/general-conference/2010/04/remember-who-you-are?lang=eng"
"divine nature","Mind the Gap","Barbara Thompson","October 2009","https://www.lds.org/general-conference/2009/10/mind-the-gap?lang=eng"
"divine nature","Do You Know Who You Are?","Dean R. Burgess","April 2008","https://www.lds.org/general-conference/2008/04/do-you-know-who-you-are?lang=eng"
"divine nature","Who’s on the Lord’s Side?","Charles W. Dahlquist II","April 2007","https://www.lds.org/general-conference/2007/04/whos-on-the-lords-side?lang=eng"
"divine nature","Daughters of Heavenly Father","Susan W. Tanner","April 2007","https://www.lds.org/general-conference/2007/04/daughters-of-heavenly-father?lang=eng"
"divine nature","“The Great and Wonderful Love”","Anthony D. Perkins","October 2006","https://www.lds.org/general-conference/2006/10/the-great-and-wonderful-love?lang=eng"
